company_id,company_name,industry,company_size,location,founded_year,employee_count,revenue_million_usd,description,website,benefits
1,TechCorp Vietnam,Retail,Large (1000+),Ho Chi Minh City,2003,1851,160,Leading technology company specializing in innovative solutions for industry 1,https://company1.com,"Stock Options, Free Lunch, Gym Membership"
2,DataSoft Solutions,Education,Small (51-200),Da Nang,1998,2465,475,Leading technology company specializing in innovative solutions for industry 2,https://company2.com,"Health Insurance, Flexible Hours, Remote Work"
3,AI Ventures Ltd,Logistics,Startup (1-50),Hanoi,1995,534,340,Leading technology company specializing in innovative solutions for industry 3,https://company3.com,"Performance Bonus, Team Building, Modern Office"
4,CloudMaster Pro,E-commerce,Large (1000+),Can Tho,1998,2960,152,Leading technology company specializing in innovative solutions for industry 4,https://company4.com,"Stock Options, Free Lunch, Gym Membership"
5,DevHub Studio,Retail,Medium (201-1000),Da Nang,1995,4141,396,Leading technology company specializing in innovative solutions for industry 5,https://company5.com,"Competitive Salary, Training, Career Development"
6,FinTech Innovations,Agriculture,Medium (201-1000),Ho Chi Minh City,2008,4790,178,Leading technology company specializing in innovative solutions for industry 1,https://company6.com,"Performance Bonus, Team Building, Modern Office"
7,CyberGuard Security,Healthcare,Small (51-200),Can Tho,2015,4125,163,Leading technology company specializing in innovative solutions for industry 2,https://company7.com,"Stock Options, Free Lunch, Gym Membership"
8,WebSolutions Inc,Retail,Large (1000+),Ho Chi Minh City,2010,2378,380,Leading technology company specializing in innovative solutions for industry 3,https://company8.com,"Stock Options, Free Lunch, Gym Membership"
9,MobileTech Labs,Logistics,Startup (1-50),Ho Chi Minh City,2014,3857,33,Leading technology company specializing in innovative solutions for industry 4,https://company9.com,"Performance Bonus, Team Building, Modern Office"
10,GameStudio Pro,E-commerce,Medium (201-1000),Hanoi,2018,4505,417,Leading technology company specializing in innovative solutions for industry 5,https://company10.com,"Competitive Salary, Training, Career Development"
11,EcommerceGiant VN,Education,Large (1000+),Can Tho,2002,2711,445,Leading technology company specializing in innovative solutions for industry 1,https://company11.com,"Performance Bonus, Team Building, Modern Office"
12,SocialConnect App,Logistics,Large (1000+),Can Tho,2001,981,179,Leading technology company specializing in innovative solutions for industry 2,https://company12.com,"Stock Options, Free Lunch, Gym Membership"
13,HealthTech Medical,Logistics,Small (51-200),Hanoi,1997,1176,427,Leading technology company specializing in innovative solutions for industry 3,https://company13.com,"Health Insurance, Flexible Hours, Remote Work"
14,EduPlatform Online,Healthcare,Medium (201-1000),Da Nang,2011,4939,101,Leading technology company specializing in innovative solutions for industry 4,https://company14.com,"Health Insurance, Flexible Hours, Remote Work"
15,GreenEnergy Corp,Manufacturing,Medium (201-1000),Ho Chi Minh City,1995,2784,268,Leading technology company specializing in innovative solutions for industry 5,https://company15.com,"Performance Bonus, Team Building, Modern Office"
16,SmartCity Solutions,E-commerce,Startup (1-50),Hai Phong,2010,1992,323,Leading technology company specializing in innovative solutions for industry 1,https://company16.com,"Stock Options, Free Lunch, Gym Membership"
17,BlockChain Technologies,Financial Services,Medium (201-1000),Ho Chi Minh City,2006,863,65,Leading technology company specializing in innovative solutions for industry 2,https://company17.com,"Health Insurance, Flexible Hours, Remote Work"
18,IoT Systems Vietnam,Logistics,Startup (1-50),Ho Chi Minh City,2021,4156,417,Leading technology company specializing in innovative solutions for industry 3,https://company18.com,"Stock Options, Free Lunch, Gym Membership"
19,VR Innovations Lab,Manufacturing,Medium (201-1000),Da Nang,2013,3746,168,Leading technology company specializing in innovative solutions for industry 4,https://company19.com,"Performance Bonus, Team Building, Modern Office"
20,RoboTech Manufacturing,Financial Services,Small (51-200),Ho Chi Minh City,2016,3779,330,Leading technology company specializing in innovative solutions for industry 5,https://company20.com,"Health Insurance, Flexible Hours, Remote Work"
21,FoodDelivery Express,E-commerce,Medium (201-1000),Hanoi,2017,584,43,Leading technology company specializing in innovative solutions for industry 1,https://company21.com,"Stock Options, Free Lunch, Gym Membership"
22,TravelApp Vietnam,Information Technology,Startup (1-50),Hanoi,2016,3271,44,Leading technology company specializing in innovative solutions for industry 2,https://company22.com,"Health Insurance, Flexible Hours, Remote Work"
23,MusicStream Platform,Agriculture,Startup (1-50),Can Tho,2008,1158,285,Leading technology company specializing in innovative solutions for industry 3,https://company23.com,"Performance Bonus, Team Building, Modern Office"
24,PhotoShare Social,Manufacturing,Small (51-200),Hai Phong,2000,1725,397,Leading technology company specializing in innovative solutions for industry 4,https://company24.com,"Stock Options, Free Lunch, Gym Membership"
25,VideoEdit Pro,Real Estate,Medium (201-1000),Ho Chi Minh City,2000,4787,12,Leading technology company specializing in innovative solutions for industry 5,https://company25.com,"Health Insurance, Flexible Hours, Remote Work"
26,ChatBot AI Solutions,Information Technology,Medium (201-1000),Ho Chi Minh City,2007,4943,95,Leading technology company specializing in innovative solutions for industry 1,https://company26.com,"Performance Bonus, Team Building, Modern Office"
27,TranslateNow Service,Agriculture,Small (51-200),Da Nang,2013,3864,302,Leading technology company specializing in innovative solutions for industry 2,https://company27.com,"Health Insurance, Flexible Hours, Remote Work"
28,WeatherApp Vietnam,Healthcare,Medium (201-1000),Hanoi,2016,2501,386,Leading technology company specializing in innovative solutions for industry 3,https://company28.com,"Health Insurance, Flexible Hours, Remote Work"
29,NewsPortal Digital,Retail,Medium (201-1000),Hai Phong,2002,2670,253,Leading technology company specializing in innovative solutions for industry 4,https://company29.com,"Competitive Salary, Training, Career Development"
30,SportsTech Analytics,Education,Startup (1-50),Can Tho,2021,3134,499,Leading technology company specializing in innovative solutions for industry 5,https://company30.com,"Competitive Salary, Training, Career Development"
31,FashionTech Retail,Real Estate,Medium (201-1000),Hanoi,2021,3061,242,Leading technology company specializing in innovative solutions for industry 1,https://company31.com,"Performance Bonus, Team Building, Modern Office"
32,BeautyApp Vietnam,Healthcare,Medium (201-1000),Can Tho,1996,14,35,Leading technology company specializing in innovative solutions for industry 2,https://company32.com,"Competitive Salary, Training, Career Development"
33,PetCare Services,E-commerce,Small (51-200),Da Nang,2015,4879,215,Leading technology company specializing in innovative solutions for industry 3,https://company33.com,"Performance Bonus, Team Building, Modern Office"
34,HomeTech Automation,Healthcare,Small (51-200),Da Nang,1995,886,337,Leading technology company specializing in innovative solutions for industry 4,https://company34.com,"Competitive Salary, Training, Career Development"
35,CarTech Solutions,Retail,Large (1000+),Ho Chi Minh City,2022,1001,90,Leading technology company specializing in innovative solutions for industry 5,https://company35.com,"Health Insurance, Flexible Hours, Remote Work"
36,BikeShare Vietnam,E-commerce,Startup (1-50),Hai Phong,2009,4152,264,Leading technology company specializing in innovative solutions for industry 1,https://company36.com,"Performance Bonus, Team Building, Modern Office"
37,Delivery Express Co,Real Estate,Medium (201-1000),Can Tho,1995,4374,93,Leading technology company specializing in innovative solutions for industry 2,https://company37.com,"Performance Bonus, Team Building, Modern Office"
38,Logistics Pro Vietnam,Retail,Medium (201-1000),Hanoi,1999,4475,410,Leading technology company specializing in innovative solutions for industry 3,https://company38.com,"Health Insurance, Flexible Hours, Remote Work"
39,Supply Chain Solutions,Financial Services,Large (1000+),Da Nang,2022,645,458,Leading technology company specializing in innovative solutions for industry 4,https://company39.com,"Performance Bonus, Team Building, Modern Office"
40,Inventory Management,Education,Medium (201-1000),Ho Chi Minh City,2023,1703,90,Leading technology company specializing in innovative solutions for industry 5,https://company40.com,"Performance Bonus, Team Building, Modern Office"
41,HR Solutions Vietnam,Real Estate,Startup (1-50),Ho Chi Minh City,2010,1692,418,Leading technology company specializing in innovative solutions for industry 1,https://company41.com,"Competitive Salary, Training, Career Development"
